,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,GENDER,Car,House,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,DAYS_EMPLOYED,MOBILE,WORK_PHONE,HOME_PHONE,MOBILE_REACHABLE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,APPLICATION_DAY,TOTAL_DOC_SUBMITTED
4163,104868,1,Cash loans,F,N,N,0,157500.0,1166724.0,913500.0,Unaccompanied,Working,Secondary / secondary special,Separated,-3138,1,1,1,1,0,Sales staff,1.0,MONDAY,2
4310,105042,1,Cash loans,F,N,N,0,67500.0,225000.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,-3682,1,1,1,1,0,Core staff,2.0,THURSDAY,1
4432,105181,1,Cash loans,M,N,N,2,135000.0,487570.5,441000.0,Family,Working,Secondary / secondary special,Married,-1898,1,1,0,1,0,Laborers,4.0,THURSDAY,1
4495,105259,1,Cash loans,F,N,N,0,121500.0,521280.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Separated,-4397,1,1,1,1,0,Medicine staff,1.0,SATURDAY,1
4665,105455,1,Cash loans,F,N,N,0,270000.0,835380.0,675000.0,Family,Working,Secondary / secondary special,Married,-4100,1,1,0,1,0,Laborers,2.0,THURSDAY,1
4835,105653,1,Cash loans,M,N,N,1,315000.0,675000.0,675000.0,Unaccompanied,Commercial associate,Incomplete higher,Married,-1112,1,1,1,1,0,Core staff,3.0,SATURDAY,1
4954,105797,1,Cash loans,M,N,N,0,193500.0,387000.0,387000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1323,1,1,0,1,1,Laborers,2.0,SATURDAY,1
5232,106122,1,Cash loans,F,N,N,0,202500.0,797557.5,688500.0,Unaccompanied,Commercial associate,Higher education,Civil marriage,-2243,1,1,0,1,0,Accountants,2.0,FRIDAY,1
5452,106381,1,Cash loans,M,N,N,0,135000.0,358344.0,283500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-2946,1,1,0,1,0,Laborers,2.0,SATURDAY,1
5532,106478,1,Cash loans,F,N,N,1,157500.0,1056447.0,922500.0,Unaccompanied,Working,Higher education,Single / not married,-2564,1,1,0,1,0,Core staff,2.0,MONDAY,1
5662,106625,1,Cash loans,F,N,N,0,180000.0,239850.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1855,1,1,1,1,0,Laborers,2.0,SATURDAY,1
5694,106659,1,Cash loans,M,N,N,0,450000.0,1546020.0,1350000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-4478,1,1,0,1,0,Managers,2.0,FRIDAY,1
5751,106725,1,Cash loans,F,N,N,0,112500.0,521280.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-7081,1,1,1,1,0,Laborers,2.0,MONDAY,1
5793,106773,1,Cash loans,F,N,N,1,112500.0,921861.0,769500.0,Unaccompanied,Working,Secondary / secondary special,Married,-1643,1,1,0,1,0,High skill tech staff,3.0,THURSDAY,1
5818,106806,1,Cash loans,F,N,N,1,135000.0,337500.0,337500.0,Unaccompanied,State servant,Secondary / secondary special,Separated,-2043,1,1,1,1,0,Core staff,2.0,WEDNESDAY,1
5921,106933,1,Cash loans,F,N,N,1,144000.0,521280.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,-3852,1,1,0,1,0,Laborers,2.0,THURSDAY,1
5952,106971,1,Cash loans,M,N,N,2,85500.0,1288350.0,1125000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1209,1,1,1,1,0,Laborers,4.0,THURSDAY,1
6122,107157,1,Cash loans,F,N,N,0,81000.0,916470.0,765000.0,Family,Working,Secondary / secondary special,Married,-5712,1,1,0,1,0,Laborers,2.0,MONDAY,1
6143,107178,1,Cash loans,M,N,N,0,202500.0,808650.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1131,1,1,1,1,0,High skill tech staff,2.0,SATURDAY,1
6160,107195,1,Cash loans,M,N,N,2,90000.0,555273.0,463500.0,Family,Working,Secondary / secondary special,Married,-2385,1,1,0,1,0,Laborers,4.0,WEDNESDAY,1
6213,107255,1,Cash loans,F,N,N,2,54000.0,364896.0,315000.0,Unaccompanied,State servant,Higher education,Married,-2377,1,1,0,1,0,Core staff,4.0,MONDAY,1
6312,107367,1,Cash loans,M,N,N,1,202500.0,343800.0,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,-1426,1,1,0,1,0,Laborers,3.0,WEDNESDAY,1
6398,107465,1,Cash loans,F,N,N,0,81000.0,727785.0,607500.0,Unaccompanied,Working,Secondary / secondary special,Married,-3178,1,1,0,1,0,Laborers,2.0,SUNDAY,1
6441,107510,1,Cash loans,F,N,N,1,72000.0,284400.0,225000.0,Unaccompanied,Working,Higher education,Married,-2979,1,1,0,1,0,Managers,3.0,THURSDAY,1
6509,107593,1,Cash loans,F,N,N,0,112500.0,400500.0,400500.0,Unaccompanied,Working,Secondary / secondary special,Married,-1781,1,1,0,1,0,Cooking staff,2.0,MONDAY,1
6616,107719,1,Cash loans,M,N,N,0,202500.0,781920.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,-8822,1,1,0,1,0,Medicine staff,2.0,TUESDAY,1
6824,107957,1,Cash loans,F,N,N,0,135000.0,909000.0,909000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1721,1,1,1,1,0,Cooking staff,2.0,MONDAY,1
6948,108094,1,Revolving loans,F,N,N,0,90000.0,202500.0,202500.0,Family,Working,Secondary / secondary special,Married,-3193,1,1,0,1,0,Sales staff,2.0,THURSDAY,0
6999,108150,1,Cash loans,M,N,N,1,202500.0,1078200.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,-5408,1,1,0,1,0,Laborers,3.0,TUESDAY,1
7089,108255,1,Cash loans,F,N,N,0,202500.0,1498860.0,1237500.0,Unaccompanied,Working,Higher education,Married,-1855,1,1,0,1,0,Laborers,2.0,MONDAY,1
7249,108440,1,Cash loans,F,N,N,0,180000.0,755190.0,675000.0,Unaccompanied,Working,Higher education,Civil marriage,-9165,1,1,0,1,0,High skill tech staff,2.0,THURSDAY,1
7276,108472,1,Cash loans,F,N,N,1,72000.0,269550.0,225000.0,Unaccompanied,State servant,Secondary / secondary special,Married,-7414,1,1,1,1,0,Medicine staff,3.0,FRIDAY,1
7284,108484,1,Cash loans,M,N,N,0,180000.0,776304.0,648000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-3427,1,1,0,1,0,Sales staff,2.0,TUESDAY,1
7310,108518,1,Cash loans,M,N,N,1,180000.0,1146816.0,990000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-1547,1,1,0,1,0,Low-skill Laborers,3.0,SATURDAY,1
7361,108578,1,Cash loans,F,N,N,0,112500.0,269550.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-1627,1,1,0,1,0,Laborers,2.0,MONDAY,1
7456,108694,1,Cash loans,F,N,N,2,144000.0,254700.0,225000.0,Unaccompanied,State servant,Secondary / secondary special,Married,-1871,1,1,0,1,1,Core staff,4.0,THURSDAY,1
7477,108719,1,Cash loans,F,N,N,0,315000.0,1350000.0,1350000.0,Unaccompanied,Working,Higher education,Married,-2642,1,1,0,1,0,High skill tech staff,2.0,MONDAY,1
7521,108770,1,Cash loans,M,N,N,2,157500.0,539100.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1854,1,1,0,1,0,Laborers,4.0,THURSDAY,1
7539,108790,1,Cash loans,M,N,N,0,180000.0,675000.0,675000.0,Family,State servant,Secondary / secondary special,Single / not married,-1202,1,1,1,1,0,Drivers,1.0,SATURDAY,1
7638,108902,1,Cash loans,F,N,N,1,180000.0,1288350.0,1125000.0,Unaccompanied,Working,Incomplete higher,Separated,-1767,1,1,0,1,0,Managers,2.0,THURSDAY,1
7734,109023,1,Cash loans,M,N,N,0,76500.0,472500.0,472500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-1882,1,1,1,1,0,Laborers,2.0,SATURDAY,1
7853,109157,1,Revolving loans,F,N,N,2,112500.0,720000.0,720000.0,Unaccompanied,Working,Secondary / secondary special,Married,-2196,1,1,0,1,0,High skill tech staff,4.0,WEDNESDAY,0
8038,109375,1,Cash loans,F,N,N,1,135000.0,454500.0,454500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-2007,1,1,0,1,0,Sales staff,2.0,MONDAY,1
8252,109619,1,Cash loans,F,N,N,0,270000.0,521280.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-2204,1,1,1,1,0,Accountants,2.0,TUESDAY,1
8358,109738,1,Cash loans,M,N,N,0,225000.0,592560.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1403,1,1,0,1,0,Laborers,2.0,MONDAY,1
8424,109815,1,Cash loans,M,N,N,2,90000.0,906615.0,688500.0,"Spouse, partner",State servant,Secondary / secondary special,Married,-1103,1,1,0,1,0,Core staff,4.0,SATURDAY,1
8435,109827,1,Cash loans,F,N,N,0,180000.0,654498.0,585000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-2454,1,1,0,1,0,Laborers,1.0,MONDAY,1
8675,110099,1,Cash loans,F,N,N,0,180000.0,269550.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-1691,1,1,0,1,0,Medicine staff,1.0,WEDNESDAY,1
8878,110322,1,Cash loans,M,N,N,0,180000.0,391500.0,391500.0,Family,Working,Secondary / secondary special,Single / not married,-1537,1,1,0,1,0,Drivers,1.0,WEDNESDAY,1
8884,110330,1,Cash loans,M,N,N,1,157500.0,592560.0,450000.0,Unaccompanied,Commercial associate,Higher education,Married,-2039,1,1,0,1,0,Laborers,3.0,FRIDAY,1
8962,110429,1,Cash loans,F,N,N,0,171000.0,472500.0,472500.0,Unaccompanied,Working,Secondary / secondary special,Married,-1648,1,1,0,1,0,Laborers,2.0,TUESDAY,1
9039,110514,1,Cash loans,F,N,N,0,126000.0,284400.0,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,-1532,1,1,0,1,0,Sales staff,1.0,SATURDAY,1
9050,110525,1,Cash loans,F,N,N,0,135000.0,521280.0,450000.0,Unaccompanied,Working,Higher education,Separated,-3768,1,1,1,1,0,Accountants,1.0,FRIDAY,1
9105,110585,1,Cash loans,M,N,N,0,90000.0,512338.5,423000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-1647,1,1,1,1,0,Laborers,1.0,WEDNESDAY,1
9129,110614,1,Cash loans,F,N,N,1,67500.0,167121.0,139500.0,Unaccompanied,Working,Secondary / secondary special,Married,-1065,1,1,0,1,0,Medicine staff,3.0,FRIDAY,1
9188,110683,1,Cash loans,M,N,N,0,112500.0,521280.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1067,1,1,1,1,0,Low-skill Laborers,2.0,SATURDAY,1
9230,110734,1,Cash loans,F,N,N,0,225000.0,942759.0,828000.0,Unaccompanied,State servant,Secondary / secondary special,Single / not married,-3716,1,1,0,1,0,Core staff,1.0,MONDAY,1
9298,110812,1,Cash loans,F,N,N,0,76500.0,754740.0,630000.0,Unaccompanied,Working,Secondary / secondary special,Married,-3074,1,1,0,1,0,Laborers,2.0,TUESDAY,1
9307,110821,1,Cash loans,F,N,N,0,90000.0,648000.0,648000.0,Unaccompanied,Commercial associate,Incomplete higher,Married,-2060,1,1,0,1,0,Sales staff,2.0,TUESDAY,1
9460,111000,1,Cash loans,M,N,N,0,135000.0,450000.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-1623,1,1,0,1,0,Drivers,2.0,TUESDAY,1
9574,111129,1,Cash loans,F,N,N,0,135000.0,545040.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,-1224,1,1,0,1,0,Sales staff,1.0,THURSDAY,1
9603,111160,1,Cash loans,F,N,N,0,180000.0,1350000.0,1350000.0,Unaccompanied,Working,Higher education,Married,-2895,1,1,0,1,0,Core staff,2.0,SATURDAY,1
9608,111166,1,Cash loans,F,N,N,0,225000.0,508495.5,454500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-3855,1,1,0,1,0,Sales staff,2.0,MONDAY,1
9838,111449,1,Cash loans,F,N,N,0,270000.0,490495.5,454500.0,Unaccompanied,Working,Higher education,Married,-5176,1,1,0,1,0,Sales staff,2.0,THURSDAY,1
10030,111671,1,Cash loans,F,N,N,0,180000.0,808650.0,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-3120,1,1,1,1,0,Sales staff,2.0,FRIDAY,1
10490,112217,1,Cash loans,F,N,N,2,157500.0,545040.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-3000,1,1,0,1,0,Core staff,4.0,THURSDAY,1
10494,112221,1,Cash loans,M,N,N,0,202500.0,494550.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-4182,1,1,1,1,0,Managers,1.0,MONDAY,1
10607,112361,1,Cash loans,M,N,N,1,180000.0,1067940.0,765000.0,Family,Working,Secondary / secondary special,Married,-1101,1,1,0,1,0,Laborers,3.0,WEDNESDAY,1
10724,112489,1,Cash loans,M,N,N,0,225000.0,450000.0,450000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,-2043,1,1,0,1,0,Managers,1.0,WEDNESDAY,1
10747,112515,1,Cash loans,F,N,N,0,157500.0,922500.0,922500.0,Unaccompanied,State servant,Secondary / secondary special,Married,-6751,1,1,1,1,0,Cooking staff,2.0,SATURDAY,1
10946,112743,1,Cash loans,M,N,N,2,225000.0,855000.0,855000.0,Family,State servant,Higher education,Single / not married,-2753,1,1,1,1,0,High skill tech staff,3.0,WEDNESDAY,1
11029,112849,1,Cash loans,M,N,N,0,112500.0,521280.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-5706,1,1,1,1,0,Drivers,2.0,THURSDAY,1
11183,113033,1,Cash loans,F,N,N,0,450000.0,808650.0,675000.0,Unaccompanied,Commercial associate,Lower secondary,Married,-2818,1,1,0,1,0,Sales staff,2.0,FRIDAY,1
11193,113044,1,Cash loans,F,N,N,0,193500.0,1024740.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Separated,-1702,1,1,0,1,0,Laborers,1.0,WEDNESDAY,1
11451,113334,1,Cash loans,M,N,N,1,126000.0,225000.0,225000.0,Unaccompanied,Working,Higher education,Married,-1587,1,1,0,1,0,High skill tech staff,3.0,THURSDAY,1
11567,113478,1,Cash loans,M,N,N,1,90000.0,284400.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-5029,1,1,1,1,0,Laborers,3.0,THURSDAY,1
11637,113556,1,Cash loans,F,N,N,0,135000.0,675000.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,-5828,1,1,0,1,0,Core staff,2.0,SATURDAY,1
11697,113635,1,Cash loans,F,N,N,0,121500.0,348264.0,315000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1990,1,1,0,1,0,Sales staff,2.0,TUESDAY,1
11816,113768,1,Cash loans,F,N,N,1,58500.0,113760.0,90000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-1572,1,1,1,1,0,Laborers,3.0,WEDNESDAY,1
12062,114066,1,Cash loans,F,N,N,0,67500.0,339241.5,238500.0,Family,Working,Secondary / secondary special,Single / not married,-11085,1,1,0,1,0,Laborers,1.0,THURSDAY,1
12074,114083,1,Cash loans,F,N,N,2,225000.0,1339884.0,1170000.0,Unaccompanied,Commercial associate,Higher education,Married,-2020,1,1,0,1,0,Accountants,4.0,FRIDAY,1
12150,114166,1,Cash loans,F,N,N,2,135000.0,640080.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1387,1,1,1,1,0,Accountants,4.0,SATURDAY,1
12181,114205,1,Cash loans,F,N,N,0,63000.0,183784.5,148500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,-1314,1,1,0,1,0,Core staff,1.0,TUESDAY,1
12238,114271,1,Cash loans,F,N,N,0,270000.0,545040.0,450000.0,Unaccompanied,Commercial associate,Incomplete higher,Civil marriage,-2213,1,1,0,1,0,Managers,2.0,THURSDAY,1
12367,114417,1,Cash loans,F,N,N,2,135000.0,544369.5,430672.5,"Spouse, partner",Working,Secondary / secondary special,Married,-1130,1,1,0,1,0,Sales staff,4.0,TUESDAY,2
12609,114702,1,Cash loans,F,N,N,0,225000.0,945000.0,945000.0,Unaccompanied,Commercial associate,Higher education,Civil marriage,-4588,1,1,0,1,0,Core staff,2.0,SATURDAY,2
12616,114710,1,Cash loans,F,N,N,0,40500.0,53910.0,45000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1557,1,1,0,1,0,Cleaning staff,2.0,TUESDAY,1
12684,114786,1,Cash loans,F,N,N,0,112500.0,900000.0,900000.0,Unaccompanied,State servant,Incomplete higher,Married,-5194,1,1,1,1,0,Sales staff,2.0,SATURDAY,1
12715,114819,1,Cash loans,F,N,N,0,108000.0,679500.0,679500.0,Family,Commercial associate,Incomplete higher,Married,-2757,1,1,1,1,1,Realty agents,2.0,MONDAY,1
12728,114833,1,Cash loans,F,N,N,0,157500.0,1325475.0,1125000.0,Unaccompanied,State servant,Secondary / secondary special,Widow,-6679,1,1,1,1,0,Cleaning staff,1.0,THURSDAY,1
12907,115044,1,Revolving loans,F,N,N,0,76500.0,135000.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1214,1,1,0,1,0,Cleaning staff,2.0,WEDNESDAY,1
13372,115593,1,Cash loans,M,N,N,3,67500.0,1078200.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1371,1,1,1,1,0,Security staff,5.0,MONDAY,1
13409,115634,1,Cash loans,M,N,N,2,135000.0,50940.0,45000.0,"Spouse, partner",Working,Secondary / secondary special,Married,-1342,1,1,0,1,0,Drivers,4.0,SUNDAY,1
13431,115657,1,Cash loans,F,N,N,4,112500.0,269550.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,-4497,1,1,0,1,0,Laborers,6.0,SATURDAY,1
13486,115720,1,Cash loans,M,N,N,1,180000.0,808650.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,-2832,1,1,1,1,0,Laborers,3.0,MONDAY,1
13509,115744,1,Cash loans,F,N,N,0,103500.0,675000.0,675000.0,Unaccompanied,State servant,Secondary / secondary special,Single / not married,-14183,1,1,0,1,0,Laborers,1.0,THURSDAY,1
13653,115911,1,Cash loans,M,N,N,0,112500.0,545040.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-1138,1,1,1,1,0,Drivers,1.0,MONDAY,1
13711,115979,1,Cash loans,M,N,N,0,76500.0,323388.0,292500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-1647,1,1,0,1,0,Laborers,1.0,THURSDAY,1
13880,116181,1,Cash loans,F,N,N,1,157500.0,490536.0,405000.0,Unaccompanied,Working,Secondary / secondary special,Widow,-1312,1,1,0,1,0,Laborers,2.0,TUESDAY,1
13924,116235,1,Cash loans,M,N,N,0,90000.0,562491.0,454500.0,"Spouse, partner",Working,Secondary / secondary special,Married,-1757,1,1,0,1,0,Laborers,2.0,SATURDAY,1
14014,116337,1,Cash loans,F,N,N,0,117000.0,900000.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-2624,1,1,0,1,0,Accountants,1.0,MONDAY,1
14131,116476,1,Cash loans,M,N,N,0,189000.0,835380.0,675000.0,Unaccompanied,State servant,Higher education,Single / not married,-1731,1,1,1,1,0,Managers,1.0,FRIDAY,1
14159,116509,1,Cash loans,M,N,N,0,135000.0,769500.0,769500.0,Unaccompanied,Working,Secondary / secondary special,Married,-1347,1,1,1,1,0,Drivers,2.0,THURSDAY,1
14195,116550,1,Cash loans,F,N,N,1,72000.0,555273.0,463500.0,Unaccompanied,Working,Lower secondary,Single / not married,-2585,1,1,0,1,0,Laborers,2.0,MONDAY,1
14270,116645,1,Cash loans,F,N,N,0,315000.0,545040.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1041,1,1,0,1,0,Core staff,2.0,TUESDAY,1
14324,116708,1,Cash loans,F,N,N,3,135000.0,679500.0,679500.0,Unaccompanied,Working,Higher education,Married,-2969,1,1,1,1,0,Core staff,5.0,SUNDAY,1
14329,116714,1,Cash loans,F,N,N,0,112500.0,900000.0,900000.0,Unaccompanied,State servant,Incomplete higher,Married,-2394,1,1,1,1,0,Core staff,2.0,THURSDAY,1
14371,116762,1,Cash loans,F,N,N,1,135000.0,630000.0,630000.0,Unaccompanied,Working,Higher education,Married,-4986,1,1,1,1,0,Core staff,3.0,WEDNESDAY,1
14378,116770,1,Cash loans,F,N,N,0,81000.0,314055.0,238500.0,Unaccompanied,Working,Secondary / secondary special,Separated,-2765,1,1,0,1,0,Sales staff,1.0,THURSDAY,2
14437,116843,1,Cash loans,F,N,N,0,112500.0,248760.0,225000.0,Unaccompanied,Working,Incomplete higher,Civil marriage,-1311,1,1,0,1,0,Laborers,2.0,SATURDAY,1
14605,117044,1,Cash loans,M,N,N,0,112500.0,450000.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-1312,1,1,1,1,0,Laborers,2.0,TUESDAY,1
14642,117084,1,Cash loans,F,N,N,0,112500.0,1078200.0,900000.0,"Spouse, partner",Working,Lower secondary,Single / not married,-1881,1,1,1,1,0,Core staff,1.0,MONDAY,1
14644,117086,1,Cash loans,F,N,N,0,135000.0,571396.5,427500.0,Unaccompanied,Working,Secondary / secondary special,Separated,-1650,1,1,0,1,0,Sales staff,1.0,WEDNESDAY,1
14870,117357,1,Cash loans,F,N,N,1,81000.0,315000.0,315000.0,Unaccompanied,Working,Secondary / secondary special,Married,-3438,1,1,0,1,0,Cooking staff,3.0,THURSDAY,1
14897,117386,1,Cash loans,F,N,N,2,270000.0,1006920.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,-4325,1,1,0,1,0,Sales staff,4.0,TUESDAY,1
14944,117445,1,Cash loans,M,N,N,0,90000.0,409500.0,409500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-1779,1,1,0,1,0,Laborers,1.0,FRIDAY,1
